SI. No.,Parameters,2020-2021,2021-2022,2021-2022,2022-2023
1,Revenue Receipts,1633920,1788424,2078936,2204422
2,Tax Revenue (Net to Centre),1426287,1545397,1765145,1934771
3,Non Tax Revenue,207632,243028,313791,269651
4,Capital Receipts ¹,1875917,1694811,1691064,1740487
5,Recovery of Loans,19729,13000,21975,14291
6,Other Receipts,37897,175000,78000,65000
7,Borrowings and Other Liabilities²,1818291,1506811,1591089,1661196
8,Total Receipts (1+4),3509836,3483236,3770000,3944909
9,Total Expenditure (10+13),3509836,3483236,3770000,3944909
10,On Revenue Account,3083519,2929000,3167288,3194663
NA,of which,NA,NA,NA,NA
11,Interest Payments,679869,809701,813791,940651
12,Grants in Aid for creation,230865,219112,237685,317643
NA,of capital assests,NA,NA,NA,NA
13,On Capital Account,426317,554236,602711,750246
14,Effective Capital Expenditure (12+13)³,657182,773348,840396,1067889
15,Revenue Deficit (10-1),1449599,1140576,1088352,990241
NA,Revenue Deficit : percentage of GDP,7.3,5.1,4.7,3.8
16,Effective Revenue Deficit (15-12),1218734,921464,850667,672598
NA,Effective Revenue Deficit : percentage of GDP,6.2,4.1,3.7,2.6
17,Fiscal Deficit [9-(1+5+6)],1818290,1506812,1591089,1661196
NA,Fiscal Deficit : percentage of GDP,9.2,6.8,6.9,6.4
18,Primary Deficit (17-11),1138421,697111,777298,720545
NA,Primary Deficit : percentage of GDP,5.8,3.1,3.3,2.8
